----- Plus 0 -----
g: 0.0, <y7>: 0.000, <z7>: 0.250, <z2>:0.125
g: 0.1, <y7>: 0.025, <z7>: 0.248, <z2>:0.124
g: 0.2, <y7>: 0.049, <z7>: 0.243, <z2>:0.121
g: 0.3, <y7>: 0.072, <z7>: 0.234, <z2>:0.117
g: 0.4, <y7>: 0.094, <z7>: 0.221, <z2>:0.111
g: 0.5, <y7>: 0.113, <z7>: 0.206, <z2>:0.103
g: 0.6, <y7>: 0.129, <z7>: 0.188, <z2>:0.094
g: 0.7, <y7>: 0.142, <z7>: 0.169, <z2>:0.084
g: 0.8, <y7>: 0.152, <z7>: 0.148, <z2>:0.074
g: 0.9, <y7>: 0.159, <z7>: 0.126, <z2>:0.063
g: 1.0, <y7>: 0.162, <z7>: 0.104, <z2>:0.052
g: 1.1, <y7>: 0.162, <z7>: 0.082, <z2>:0.041
g: 1.2, <y7>: 0.159, <z7>: 0.062, <z2>:0.031
g: 1.3, <y7>: 0.153, <z7>: 0.042, <z2>:0.021
g: 1.4, <y7>: 0.144, <z7>: 0.025, <z2>:0.012
g: 1.5, <y7>: 0.134, <z7>: 0.009, <z2>:0.005
g: 1.6, <y7>: 0.121, <z7>: -0.004, <z2>:-0.002
----- Plus 1 -----
g: 0.0, <y7>: 0.000, <z7>: 0.250, <z2>:0.125
g: 0.1, <y7>: 0.025, <z7>: 0.248, <z2>:0.124
g: 0.2, <y7>: 0.049, <z7>: 0.243, <z2>:0.121
g: 0.3, <y7>: 0.072, <z7>: 0.234, <z2>:0.117
g: 0.4, <y7>: 0.094, <z7>: 0.221, <z2>:0.111
g: 0.5, <y7>: 0.113, <z7>: 0.206, <z2>:0.103
g: 0.6, <y7>: 0.129, <z7>: 0.188, <z2>:0.094
g: 0.7, <y7>: 0.142, <z7>: 0.169, <z2>:0.084
g: 0.8, <y7>: 0.152, <z7>: 0.148, <z2>:0.074
g: 0.9, <y7>: 0.159, <z7>: 0.126, <z2>:0.063
g: 1.0, <y7>: 0.162, <z7>: 0.104, <z2>:0.052
g: 1.1, <y7>: 0.162, <z7>: 0.082, <z2>:0.041
g: 1.2, <y7>: 0.159, <z7>: 0.062, <z2>:0.031
g: 1.3, <y7>: 0.153, <z7>: 0.042, <z2>:0.021
g: 1.4, <y7>: 0.144, <z7>: 0.025, <z2>:0.012
g: 1.5, <y7>: 0.134, <z7>: 0.009, <z2>:0.005
g: 1.6, <y7>: 0.121, <z7>: -0.004, <z2>:-0.002
----- Minus 0 -----
g: 0.0, <y7>: 0.000, <z7>: 0.250, <z2>:0.125
g: 0.1, <y7>: 0.025, <z7>: 0.248, <z2>:0.124
g: 0.2, <y7>: 0.049, <z7>: 0.243, <z2>:0.121
g: 0.3, <y7>: 0.072, <z7>: 0.234, <z2>:0.117
g: 0.4, <y7>: 0.094, <z7>: 0.221, <z2>:0.111
g: 0.5, <y7>: 0.113, <z7>: 0.206, <z2>:0.103
g: 0.6, <y7>: 0.129, <z7>: 0.188, <z2>:0.094
g: 0.7, <y7>: 0.142, <z7>: 0.169, <z2>:0.084
g: 0.8, <y7>: 0.152, <z7>: 0.148, <z2>:0.074
g: 0.9, <y7>: 0.159, <z7>: 0.126, <z2>:0.063
g: 1.0, <y7>: 0.162, <z7>: 0.104, <z2>:0.052
g: 1.1, <y7>: 0.162, <z7>: 0.082, <z2>:0.041
g: 1.2, <y7>: 0.159, <z7>: 0.062, <z2>:0.031
g: 1.3, <y7>: 0.153, <z7>: 0.042, <z2>:0.021
g: 1.4, <y7>: 0.144, <z7>: 0.025, <z2>:0.012
g: 1.5, <y7>: 0.134, <z7>: 0.009, <z2>:0.005
g: 1.6, <y7>: 0.121, <z7>: -0.004, <z2>:-0.002
----- Minus 1 -----
g: 0.0, <y7>: 0.000, <z7>: 0.250, <z2>:0.125
g: 0.1, <y7>: -0.025, <z7>: 0.251, <z2>:0.125
g: 0.2, <y7>: -0.050, <z7>: 0.253, <z2>:0.126
g: 0.3, <y7>: -0.076, <z7>: 0.256, <z2>:0.128
g: 0.4, <y7>: -0.101, <z7>: 0.261, <z2>:0.130
g: 0.5, <y7>: -0.127, <z7>: 0.267, <z2>:0.134
g: 0.6, <y7>: -0.153, <z7>: 0.276, <z2>:0.138
g: 0.7, <y7>: -0.180, <z7>: 0.286, <z2>:0.143
g: 0.8, <y7>: -0.207, <z7>: 0.299, <z2>:0.150
g: 0.9, <y7>: -0.233, <z7>: 0.315, <z2>:0.158
g: 1.0, <y7>: -0.259, <z7>: 0.334, <z2>:0.167
g: 1.1, <y7>: -0.284, <z7>: 0.356, <z2>:0.178
g: 1.2, <y7>: -0.307, <z7>: 0.381, <z2>:0.190
g: 1.3, <y7>: -0.329, <z7>: 0.409, <z2>:0.204
g: 1.4, <y7>: -0.349, <z7>: 0.440, <z2>:0.220
g: 1.5, <y7>: -0.365, <z7>: 0.474, <z2>:0.237
g: 1.6, <y7>: -0.378, <z7>: 0.511, <z2>:0.256
