----- Plus 0 -----
g: 0.0, <y3>: 0.000, <z3>: 0.250, <z4>:-0.500
g: 0.1, <y3>: 0.025, <z3>: 0.248, <z4>:-0.501
g: 0.2, <y3>: 0.049, <z3>: 0.243, <z4>:-0.505
g: 0.3, <y3>: 0.072, <z3>: 0.234, <z4>:-0.511
g: 0.4, <y3>: 0.094, <z3>: 0.221, <z4>:-0.520
g: 0.5, <y3>: 0.113, <z3>: 0.206, <z4>:-0.531
g: 0.6, <y3>: 0.129, <z3>: 0.188, <z4>:-0.544
g: 0.7, <y3>: 0.142, <z3>: 0.169, <z4>:-0.559
g: 0.8, <y3>: 0.152, <z3>: 0.148, <z4>:-0.576
g: 0.9, <y3>: 0.159, <z3>: 0.126, <z4>:-0.595
g: 1.0, <y3>: 0.162, <z3>: 0.104, <z4>:-0.615
g: 1.1, <y3>: 0.162, <z3>: 0.082, <z4>:-0.637
g: 1.2, <y3>: 0.159, <z3>: 0.062, <z4>:-0.659
g: 1.3, <y3>: 0.153, <z3>: 0.042, <z4>:-0.683
g: 1.4, <y3>: 0.144, <z3>: 0.025, <z4>:-0.708
g: 1.5, <y3>: 0.134, <z3>: 0.009, <z4>:-0.732
g: 1.6, <y3>: 0.121, <z3>: -0.004, <z4>:-0.757
----- Plus 1 -----
g: 0.0, <y3>: 0.000, <z3>: 0.250, <z4>:-0.500
g: 0.1, <y3>: 0.025, <z3>: 0.248, <z4>:-0.501
g: 0.2, <y3>: 0.049, <z3>: 0.243, <z4>:-0.505
g: 0.3, <y3>: 0.072, <z3>: 0.234, <z4>:-0.511
g: 0.4, <y3>: 0.094, <z3>: 0.221, <z4>:-0.520
g: 0.5, <y3>: 0.113, <z3>: 0.206, <z4>:-0.531
g: 0.6, <y3>: 0.129, <z3>: 0.188, <z4>:-0.544
g: 0.7, <y3>: 0.142, <z3>: 0.169, <z4>:-0.559
g: 0.8, <y3>: 0.152, <z3>: 0.148, <z4>:-0.576
g: 0.9, <y3>: 0.159, <z3>: 0.126, <z4>:-0.595
g: 1.0, <y3>: 0.162, <z3>: 0.104, <z4>:-0.615
g: 1.1, <y3>: 0.162, <z3>: 0.082, <z4>:-0.637
g: 1.2, <y3>: 0.159, <z3>: 0.062, <z4>:-0.659
g: 1.3, <y3>: 0.153, <z3>: 0.042, <z4>:-0.683
g: 1.4, <y3>: 0.144, <z3>: 0.025, <z4>:-0.708
g: 1.5, <y3>: 0.134, <z3>: 0.009, <z4>:-0.732
g: 1.6, <y3>: 0.121, <z3>: -0.004, <z4>:-0.757
----- Minus 0 -----
g: 0.0, <y3>: 0.000, <z3>: 0.250, <z4>:-0.500
g: 0.1, <y3>: 0.025, <z3>: 0.248, <z4>:-0.501
g: 0.2, <y3>: 0.049, <z3>: 0.243, <z4>:-0.505
g: 0.3, <y3>: 0.072, <z3>: 0.234, <z4>:-0.511
g: 0.4, <y3>: 0.094, <z3>: 0.221, <z4>:-0.520
g: 0.5, <y3>: 0.113, <z3>: 0.206, <z4>:-0.531
g: 0.6, <y3>: 0.129, <z3>: 0.188, <z4>:-0.544
g: 0.7, <y3>: 0.142, <z3>: 0.169, <z4>:-0.559
g: 0.8, <y3>: 0.152, <z3>: 0.148, <z4>:-0.576
g: 0.9, <y3>: 0.159, <z3>: 0.126, <z4>:-0.595
g: 1.0, <y3>: 0.162, <z3>: 0.104, <z4>:-0.615
g: 1.1, <y3>: 0.162, <z3>: 0.082, <z4>:-0.637
g: 1.2, <y3>: 0.159, <z3>: 0.062, <z4>:-0.659
g: 1.3, <y3>: 0.153, <z3>: 0.042, <z4>:-0.683
g: 1.4, <y3>: 0.144, <z3>: 0.025, <z4>:-0.708
g: 1.5, <y3>: 0.134, <z3>: 0.009, <z4>:-0.732
g: 1.6, <y3>: 0.121, <z3>: -0.004, <z4>:-0.757
----- Minus 1 -----
g: 0.0, <y3>: 0.000, <z3>: 0.250, <z4>:-0.500
g: 0.1, <y3>: -0.025, <z3>: 0.251, <z4>:-0.496
g: 0.2, <y3>: -0.050, <z3>: 0.253, <z4>:-0.485
g: 0.3, <y3>: -0.076, <z3>: 0.256, <z4>:-0.467
g: 0.4, <y3>: -0.101, <z3>: 0.261, <z4>:-0.441
g: 0.5, <y3>: -0.127, <z3>: 0.267, <z4>:-0.408
g: 0.6, <y3>: -0.153, <z3>: 0.276, <z4>:-0.369
g: 0.7, <y3>: -0.180, <z3>: 0.286, <z4>:-0.324
g: 0.8, <y3>: -0.207, <z3>: 0.299, <z4>:-0.273
g: 0.9, <y3>: -0.233, <z3>: 0.315, <z4>:-0.216
g: 1.0, <y3>: -0.259, <z3>: 0.334, <z4>:-0.155
g: 1.1, <y3>: -0.284, <z3>: 0.356, <z4>:-0.090
g: 1.2, <y3>: -0.307, <z3>: 0.381, <z4>:-0.022
g: 1.3, <y3>: -0.329, <z3>: 0.409, <z4>:0.049
g: 1.4, <y3>: -0.349, <z3>: 0.440, <z4>:0.123
g: 1.5, <y3>: -0.365, <z3>: 0.474, <z4>:0.197
g: 1.6, <y3>: -0.378, <z3>: 0.511, <z4>:0.272
